input log file location, C:\Users\hotschmoe\Documents\GitHub\specula\results\qualcomm_dissect\prof\clean_part1\qnn-profiling-data_0.log
qnn-profile-viewer version, v2.45.40.260406130939
qnn-net-run version, v2.45.40.260406130939
Backend version, v2.45.40.260406130939
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
18154581677,EXECUTE,315,US,NETRUN,ROOT,Graph 2: prompt_ar128_cl1024_1_of_4
18154581677,EXECUTE,8,COUNT,BACKEND,ROOT,Number of HVX threads used
18154581677,EXECUTE,277,US,BACKEND,ROOT,RPC (execute) time
18154581677,EXECUTE,189,US,BACKEND,ROOT,QNN accelerator (execute) time
18154581677,EXECUTE,147,US,BACKEND,ROOT,Accelerator (execute) time
18154581677,EXECUTE,52,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
18154581677,EXECUTE,310,US,BACKEND,ROOT,QNN (execute) time
18154820016,EXECUTE,117,US,NETRUN,ROOT,Graph 2: prompt_ar128_cl1024_1_of_4
18154820016,EXECUTE,8,COUNT,BACKEND,ROOT,Number of HVX threads used
18154820016,EXECUTE,100,US,BACKEND,ROOT,RPC (execute) time
18154820016,EXECUTE,93,US,BACKEND,ROOT,QNN accelerator (execute) time
18154820016,EXECUTE,79,US,BACKEND,ROOT,Accelerator (execute) time
18154820016,EXECUTE,56,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
18154820016,EXECUTE,114,US,BACKEND,ROOT,QNN (execute) time
18154970049,EXECUTE,82,US,NETRUN,ROOT,Graph 2: prompt_ar128_cl1024_1_of_4
18154970049,EXECUTE,8,COUNT,BACKEND,ROOT,Number of HVX threads used
18154970049,EXECUTE,74,US,BACKEND,ROOT,RPC (execute) time
18154970049,EXECUTE,69,US,BACKEND,ROOT,QNN accelerator (execute) time
18154970049,EXECUTE,56,US,BACKEND,ROOT,Accelerator (execute) time
18154970049,EXECUTE,40,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
18154970049,EXECUTE,80,US,BACKEND,ROOT,QNN (execute) time
18155123872,EXECUTE,137,US,NETRUN,ROOT,Graph 2: prompt_ar128_cl1024_1_of_4
18155123872,EXECUTE,8,COUNT,BACKEND,ROOT,Number of HVX threads used
18155123872,EXECUTE,80,US,BACKEND,ROOT,RPC (execute) time
18155123872,EXECUTE,71,US,BACKEND,ROOT,QNN accelerator (execute) time
18155123872,EXECUTE,58,US,BACKEND,ROOT,Accelerator (execute) time
18155123872,EXECUTE,41,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
18155123872,EXECUTE,125,US,BACKEND,ROOT,QNN (execute) time
18155278571,EXECUTE,99,US,NETRUN,ROOT,Graph 2: prompt_ar128_cl1024_1_of_4
18155278571,EXECUTE,8,COUNT,BACKEND,ROOT,Number of HVX threads used
18155278571,EXECUTE,75,US,BACKEND,ROOT,RPC (execute) time
18155278571,EXECUTE,68,US,BACKEND,ROOT,QNN accelerator (execute) time
18155278571,EXECUTE,55,US,BACKEND,ROOT,Accelerator (execute) time
18155278571,EXECUTE,38,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
18155278571,EXECUTE,94,US,BACKEND,ROOT,QNN (execute) time
18155429501,EXECUTE,80,US,NETRUN,ROOT,Graph 2: prompt_ar128_cl1024_1_of_4
18155429501,EXECUTE,8,COUNT,BACKEND,ROOT,Number of HVX threads used
18155429501,EXECUTE,73,US,BACKEND,ROOT,RPC (execute) time
18155429501,EXECUTE,67,US,BACKEND,ROOT,QNN accelerator (execute) time
18155429501,EXECUTE,54,US,BACKEND,ROOT,Accelerator (execute) time
18155429501,EXECUTE,38,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
18155429501,EXECUTE,79,US,BACKEND,ROOT,QNN (execute) time
18154627278,EXECUTE,309,US,NETRUN,ROOT,Graph 3: token_ar1_cl1024_1_of_4
18154627278,EXECUTE,8,COUNT,BACKEND,ROOT,Number of HVX threads used
18154627278,EXECUTE,274,US,BACKEND,ROOT,RPC (execute) time
18154627278,EXECUTE,47,US,BACKEND,ROOT,QNN accelerator (execute) time
18154627278,EXECUTE,31,US,BACKEND,ROOT,Accelerator (execute) time
18154627278,EXECUTE,3,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
18154627278,EXECUTE,305,US,BACKEND,ROOT,QNN (execute) time
18154847960,EXECUTE,159,US,NETRUN,ROOT,Graph 3: token_ar1_cl1024_1_of_4
18154847960,EXECUTE,8,COUNT,BACKEND,ROOT,Number of HVX threads used
18154847960,EXECUTE,127,US,BACKEND,ROOT,RPC (execute) time
18154847960,EXECUTE,42,US,BACKEND,ROOT,QNN accelerator (execute) time
18154847960,EXECUTE,26,US,BACKEND,ROOT,Accelerator (execute) time
18154847960,EXECUTE,3,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
18154847960,EXECUTE,150,US,BACKEND,ROOT,QNN (execute) time
18154999426,EXECUTE,194,US,NETRUN,ROOT,Graph 3: token_ar1_cl1024_1_of_4
18154999426,EXECUTE,8,COUNT,BACKEND,ROOT,Number of HVX threads used
18154999426,EXECUTE,175,US,BACKEND,ROOT,RPC (execute) time
18154999426,EXECUTE,36,US,BACKEND,ROOT,QNN accelerator (execute) time
18154999426,EXECUTE,22,US,BACKEND,ROOT,Accelerator (execute) time
18154999426,EXECUTE,2,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
18154999426,EXECUTE,190,US,BACKEND,ROOT,QNN (execute) time
18155151906,EXECUTE,169,US,NETRUN,ROOT,Graph 3: token_ar1_cl1024_1_of_4
18155151906,EXECUTE,8,COUNT,BACKEND,ROOT,Number of HVX threads used
18155151906,EXECUTE,140,US,BACKEND,ROOT,RPC (execute) time
18155151906,EXECUTE,36,US,BACKEND,ROOT,QNN accelerator (execute) time
18155151906,EXECUTE,23,US,BACKEND,ROOT,Accelerator (execute) time
18155151906,EXECUTE,2,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
18155151906,EXECUTE,162,US,BACKEND,ROOT,QNN (execute) time
18155306598,EXECUTE,132,US,NETRUN,ROOT,Graph 3: token_ar1_cl1024_1_of_4
18155306598,EXECUTE,8,COUNT,BACKEND,ROOT,Number of HVX threads used
18155306598,EXECUTE,121,US,BACKEND,ROOT,RPC (execute) time
18155306598,EXECUTE,36,US,BACKEND,ROOT,QNN accelerator (execute) time
18155306598,EXECUTE,23,US,BACKEND,ROOT,Accelerator (execute) time
18155306598,EXECUTE,2,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
18155306598,EXECUTE,130,US,BACKEND,ROOT,QNN (execute) time
18155458295,EXECUTE,146,US,NETRUN,ROOT,Graph 3: token_ar1_cl1024_1_of_4
18155458295,EXECUTE,8,COUNT,BACKEND,ROOT,Number of HVX threads used
18155458295,EXECUTE,135,US,BACKEND,ROOT,RPC (execute) time
18155458295,EXECUTE,36,US,BACKEND,ROOT,QNN accelerator (execute) time
18155458295,EXECUTE,23,US,BACKEND,ROOT,Accelerator (execute) time
18155458295,EXECUTE,2,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
18155458295,EXECUTE,144,US,BACKEND,ROOT,QNN (execute) time
18154648133,EXECUTE,352,US,NETRUN,ROOT,Graph 4: prompt_ar128_cl2048_1_of_4
18154648133,EXECUTE,8,COUNT,BACKEND,ROOT,Number of HVX threads used
18154648133,EXECUTE,332,US,BACKEND,ROOT,RPC (execute) time
